"time","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
6.42194444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,91,87,100,91,96,83,77,83,80,NA,NA,NA,NA,NA,NA,94,102,97,85,82,84,NA,NA,15,91,102,102,118,118,119,47,47,46,NA,NA,NA,NA,NA,NA,90,80,78,57,46,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.68638888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,91,88,101,91,98,83,77,83,80,NA,NA,NA,NA,NA,NA,95,103,99,86,84,85,NA,NA,15,92,102,103,119,120,122,48,47,47,NA,NA,NA,NA,NA,NA,91,81,79,58,46,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.95055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,91,88,102,92,98,84,77,84,81,NA,NA,NA,NA,NA,NA,96,104,98,87,84,85,NA,NA,14,93,102,105,121,121,122,48,47,47,NA,NA,NA,NA,NA,NA,92,81,79,59,46,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,92,88,102,92,99,84,78,85,82,NA,NA,NA,NA,NA,NA,98,105,100,88,87,86,NA,NA,16,95,105,106,121,121,123,48,47,48,NA,NA,NA,NA,NA,NA,92,82,81,58,46,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.47916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,92,89,102,93,100,85,79,85,83,NA,NA,NA,NA,NA,NA,98,106,102,88,86,87,NA,NA,15,96,105,108,121,122,124,48,48,49,NA,NA,NA,NA,NA,NA,94,82,81,58,46,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.74361111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,93,90,103,94,100,86,79,85,84,NA,NA,NA,NA,NA,NA,100,106,102,89,87,88,NA,NA,15,97,107,109,122,124,125,49,48,50,NA,NA,NA,NA,NA,NA,94,82,82,59,47,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.00805555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,94,91,103,96,101,87,80,86,84,NA,NA,NA,NA,NA,NA,100,108,103,90,88,87,NA,NA,15,98,108,109,122,124,126,50,48,49,NA,NA,NA,NA,NA,NA,95,83,82,60,46,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.27222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,94,90,105,97,101,87,81,87,85,NA,NA,NA,NA,NA,NA,101,109,104,89,88,88,NA,NA,15,99,109,111,124,125,127,50,50,50,NA,NA,NA,NA,NA,NA,95,84,82,59,47,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.53666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,94,91,104,98,103,88,81,89,86,NA,NA,NA,NA,NA,NA,100,109,105,91,89,90,NA,NA,15,100,110,112,125,126,128,51,51,51,NA,NA,NA,NA,NA,NA,97,84,83,61,47,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.80083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,95,92,106,99,105,89,82,88,86,NA,NA,NA,NA,NA,NA,101,110,107,91,89,89,NA,NA,15,100,110,111,125,128,129,51,52,51,NA,NA,NA,NA,NA,NA,96,85,84,60,47,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
