"time","od","flu","growth_rate","production_rate","phi","Condition"
9.04222222222222,0.6959,110,0.0328538982704203,0,158.068688029889,"0"
9.31194444444444,0.702066666666667,110,0.010726708096378,3.51695347422252,156.680277276612,"0"
9.58194444444444,0.7041,110.666666666667,0.00860050102306491,-3.51040858084275,157.174643753255,"0"
9.85166666666667,0.705733333333333,110,0.0224146186897836,10.5068525108361,155.866238428113,"0"
10.1213888888889,0.71,112,0.0253868892366546,-5.21648408972353,157.746478873239,"0"
10.3913888888889,0.714866666666667,111,0.0153860442048157,6.91507604710815,155.273710715285,"0"
10.6611111111111,0.717833333333333,112.333333333333,0.0234140910648411,3.44324868600611,156.489435802182,"0"
10.9308333333333,0.722366666666667,113,0.0439680740077926,3.42164000060643,156.430252411056,"0"
11.2005555555556,0.730933333333333,113.666666666667,0.00928966178874977,0,155.50893834367,"0"
11.4705555555556,0.732766666666667,113.666666666667,0.0430067368319866,1.68653869929355,155.119865350498,"0"
11.7402777777778,0.741266666666667,114,0.0276755100171357,3.33439879724532,153.790808525947,"0"
12.01,0.7468,114.666666666667,0.0147281335483163,4.96453939830885,153.544009998215,"0"
12.2797222222222,0.749766666666667,115.666666666667,0.047422160968598,-1.64660281140969,154.270217400969,"0"
12.5497222222222,0.759366666666667,115.333333333333,0.0105784939850185,6.50984245231917,151.880953426101,"0"
12.8194444444444,0.761533333333333,116.666666666667,0.0277503975257965,3.24566052933292,153.199684846363,"0"
13.0891666666667,0.767233333333333,117.333333333333,0.00611464312207229,-4.82734983321507,152.930442716253,"0"
13.3591666666667,0.7685,116.333333333333,0.0474395062539073,9.6487131363879,151.37714161787,"0"
13.6288888888889,0.778333333333333,118.333333333333,-0.0063512086041233,-1.58780215103084,152.03426124197,"0"
13.8986111111111,0.777,118,0.0248122184270484,1.59052682224667,151.866151866152,"0"
14.1683333333333,0.7822,118.333333333333,-0.00647780784662638,4.73985939997066,151.282706895082,"0"
14.4380555555556,0.780833333333333,119.333333333333,0.00505948851733268,0,152.828175026681,"0"
14.7080555555556,0.7819,119.333333333333,0.0218117187673899,7.90279665485156,152.61968708701,"0"
14.9777777777778,0.7865,121,0.0259266994591405,0,153.846153846154,"0"
15.2475,0.792,121,-0.0169908966205265,3.11759571018833,152.777777777778,"0"
15.5175,0.788366666666667,121.666666666667,0.0380925491313544,3.13518922891801,154.327512578749,"0"
15.7872222222222,0.796466666666667,122.333333333333,0.0141200359948855,-1.55165230713025,153.595044781117,"0"
16.0569444444444,0.7995,122,0.0196312190484653,4.63729583822017,152.595372107567,"0"
16.3266666666667,0.803733333333333,123,0.0227334168940014,7.68020841013545,153.035832780358,"0"
16.5966666666667,0.808666666666667,124.666666666667,0.0201728103458668,1.52824320802021,154.163231657049,"0"
16.8663888888889,0.813066666666667,125,0.0194556537758321,1.51997295123687,153.738930796983,"0"
17.1361111111111,0.817333333333333,125.333333333333,NA,NA,153.344208809135,"0"
0,0.0988,1,0.914679862048283,-12.4956265307143,10.1214574898785,"25(pre)"
0.27,0.1232,0.666666666666667,0.929934263267597,40.0833734167068,5.41125541125541,"25(pre)"
0.54,0.154133333333333,2,0.964564053039887,40.0899440166204,12.9757785467128,"25(pre)"
0.809722222222222,0.194233333333333,3.66666666666667,0.494166787482463,25.2340487225088,18.8776385790287,"25(pre)"
1.21777777777778,0.2334,5.66666666666667,0.92471010338259,31.7043464016888,24.2787774921451,"25(pre)"
1.48805555555556,0.291733333333333,7.66666666666667,0.614248301285731,55.0705373566518,26.2797074954296,"25(pre)"
1.75777777777778,0.340066666666667,12,0.551657749303413,54.5116353066613,35.2871985885121,"25(pre)"
2.0275,0.390666666666667,17,0.404916644112716,56.9414030783507,43.5153583617747,"25(pre)"
2.29722222222222,0.433333333333333,23,0.342735042735042,68.3760683760684,53.0769230769231,"25(pre)"
2.56722222222222,0.473433333333333,31,0.283225871617469,46.9867805448335,65.4791241287052,"25(pre)"
2.83694444444444,0.5096,37,0.231113597304563,70.3283769342324,72.6059654631083,"25(pre)"
3.10666666666667,0.541366666666667,46.6666666666667,0.189734713470936,59.2920979596677,86.2015885721323,"25(pre)"
3.37666666666667,0.5691,55.3333333333333,0.128773981575332,58.6323356245185,97.2295437240087,"25(pre)"
3.64638888888889,0.588866666666667,64.3333333333333,0.144808526867053,44.0721603508423,109.249405637949,"25(pre)"
3.91611111111111,0.611866666666667,71.3333333333333,0.114925787475042,48.4748488471178,116.583133580301,"25(pre)"
4.18583333333333,0.630833333333333,79.3333333333333,0.147952443857331,46.9690297959782,125.759577278732,"25(pre)"
4.45583333333333,0.656033333333333,87.3333333333333,0.0953205690495637,24.4894742617458,133.123316904629,"25(pre)"
4.72555555555556,0.6729,91.6666666666667,0.0764020160214661,20.2024561595222,136.226284242334,"25(pre)"
4.99527777777778,0.686766666666667,95.3333333333333,0.0488961514054948,12.5835683764142,138.814735718099,"25(pre)"
5.26527777777778,0.695833333333333,97.6666666666667,0.0387180325240352,3.55211307559952,140.359281437126,"25(pre)"
