"time","od","flu","phi","growth_rate","production_rate","Condition","strain"
0,0.084375,48,577.966587263169,0.301438706524015,246.022375222287,1,"BLRDE3"
0.283888888888889,0.0865,55,643.579067288601,0.555497795291873,204.53177740154,1,"BLRDE3"
0.5675,0.0904,60,671.216482679881,0.775607225799303,227.025502109897,1,"BLRDE3"
0.851388888888889,0.1006,64.5,647.80637343147,0.958061232438881,195.477869515186,1,"BLRDE3"
1.135,0.116775,70.5,608.856903348638,1.05794538439441,155.230700252892,1,"BLRDE3"
1.41861111111111,0.142,76.25,540.532945102621,1.08581420685813,107.5967564716,1,"BLRDE3"
1.7025,0.17195,82.25,481.083389661621,0.983524346834626,97.4875533960393,1,"BLRDE3"
1.98611111111111,0.208575,86.75,418.126693608443,0.800512879679352,75.8254685832046,1,"BLRDE3"
2.26972222222222,0.258475,90,350.302182152615,0.62525386101046,68.3208512419814,1,"BLRDE3"
2.55361111111111,0.312,94.5,304.878700913453,0.513083180559266,73.7617992825445,1,"BLRDE3"
2.83722222222222,0.357875,100,281.430240841402,0.435239645359236,68.5375274939729,1,"BLRDE3"
3.12111111111111,0.403025,105.25,262.816907960599,0.344903928738831,53.0394592589126,1,"BLRDE3"
3.40472222222222,0.449775,111.5,249.247125560853,0.259603657877929,61.1765760516231,1,"BLRDE3"
3.68833333333333,0.49415,118.5,241.273477875629,0.207101100608659,48.394075159889,1,"BLRDE3"
3.97222222222222,0.529725,127,240.936869011134,0.168597568122132,52.3487576290004,1,"BLRDE3"
4.25583333333333,0.563325,133.25,237.699024894385,0.14859801235175,47.9979457932521,1,"BLRDE3"
4.53944444444444,0.591775,140.75,238.944784560005,0.129681875477042,39.1577691975657,1,"BLRDE3"
4.82333333333333,0.6136,147.25,240.863988044372,0.129453248469394,38.8703127011745,1,"BLRDE3"
5.10694444444444,0.6305,154.75,246.18636796564,0.112984095939213,45.9842473806221,1,"BLRDE3"
5.39055555555556,0.6492,162.5,251.043118228076,0.104418949572641,30.4786363673294,1,"BLRDE3"
