"time","od","flu","phi","growth_rate","production_rate","Condition","strain"
0.283888888888889,0.107925,13.75,127.408161717411,0.497328916032354,89.8730816508093,10,"MG1655DE3"
0.5675,0.115925,16,138.031592526719,0.629505017189961,68.4643566660808,10,"MG1655DE3"
0.851388888888889,0.12715,18.25,143.51457478377,0.760694494652845,97.1472426137305,10,"MG1655DE3"
1.135,0.1431,20.5,143.265190051153,0.955479758655358,86.1513838397102,10,"MG1655DE3"
1.41861111111111,0.1676,23.25,138.732465423486,0.978660796645132,94.5165254991187,10,"MG1655DE3"
1.7025,0.20085,27,134.467550486467,0.99742884224148,114.138159751663,10,"MG1655DE3"
1.98611111111111,0.244125,32,131.044635702861,0.813255035891649,119.144010789472,10,"MG1655DE3"
2.26972222222222,0.298425,37,123.860141473725,0.71355496256782,135.379465280131,10,"MG1655DE3"
2.55361111111111,0.351025,44,125.242047363513,0.542511018284482,148.103087001664,10,"MG1655DE3"
2.83722222222222,0.416725,53.75,128.824957404932,0.480338444340484,166.97133991494,10,"MG1655DE3"
3.12111111111111,0.475575,67.5,141.73690589725,0.375480071499141,153.951053323965,10,"MG1655DE3"
3.40472222222222,0.533925,85,158.869308012357,0.289881586556301,122.4337109744,10,"MG1655DE3"
3.68833333333333,0.58755,105.5,178.982395525071,0.183103216877281,81.8094828955273,10,"MG1655DE3"
3.97222222222222,0.636675,127.25,199.244809071837,0.167574511864024,53.4533563100581,10,"MG1655DE3"
4.25583333333333,0.672075,146.25,217.576403533954,0.110682007009966,35.5009907869864,10,"MG1655DE3"
4.53944444444444,0.708175,155,218.853717479155,0.122380369846601,20.2365686165739,10,"MG1655DE3"
4.82333333333333,0.728475,161.25,221.860897285038,0.121518672154608,22.0034127673382,10,"MG1655DE3"
5.10694444444444,0.740475,165.75,224.697431994819,0.0460672701610504,1.17392946338547,10,"MG1655DE3"
5.39055555555556,0.7628,169,221.654282146712,0.030263687160352,-20.8619601283928,10,"MG1655DE3"
5.67444444444444,0.787525,171.5,217.589798941437,0.0292389978705783,-19.4064820229189,10,"MG1655DE3"
5.95805555555556,0.80285,170.75,212.602244791842,0.0285606113690259,-28.5851545872079,10,"MG1655DE3"
6.24166666666667,0.807875,168.25,208.238890350066,0.0410941278606839,-30.6149175528939,10,"MG1655DE3"
6.52555555555556,0.8203,161.75,197.425943573977,0.0222467639578234,-22.3394163000602,10,"MG1655DE3"
6.80916666666667,0.82725,155,187.733757624026,0.0284824590312024,-21.3587963818045,10,"MG1655DE3"
