"time","od","flu","phi","growth_rate","production_rate","Condition","strain"
0,0.1099,8.75,81.0068901807624,0.278216614381588,89.8228395487715,1,"BLR-lacIDE3"
0.283888888888889,0.0929,15,161.530660561633,0.809335049463922,66.7201049833174,1,"BLR-lacIDE3"
0.5675,0.10245,17.5,170.802110709708,1.05942978269307,68.4367857492713,1,"BLR-lacIDE3"
0.851388888888889,0.1195,19,159.091717684097,1.03829068610867,51.891259097015,1,"BLR-lacIDE3"
1.135,0.1442,20.5,142.233456773727,1.06261959334053,54.6283563508455,1,"BLR-lacIDE3"
1.41861111111111,0.1792,22.5,125.554439695359,0.816975151618889,53.8954055726754,1,"BLR-lacIDE3"
1.7025,0.221275,24.25,109.62229859133,0.696228881493084,51.5910171674296,1,"BLR-lacIDE3"
1.98611111111111,0.263,27,102.751656405009,0.582588905416352,53.1548799791091,1,"BLR-lacIDE3"
2.26972222222222,0.307725,29.25,95.1433254488172,0.444187198033303,57.1181659458968,1,"BLR-lacIDE3"
2.55361111111111,0.35275,33.25,94.409270754928,0.352042337750227,59.8451436152053,1,"BLR-lacIDE3"
2.83722222222222,0.39655,37.5,94.8161076319638,0.290196301769586,57.6643758497975,1,"BLR-lacIDE3"
3.12111111111111,0.438475,43.25,98.9431784728292,0.2768694343894,54.5682365212025,1,"BLR-lacIDE3"
3.40472222222222,0.4755,49.25,103.845588691308,0.221634946555831,57.3669322566025,1,"BLR-lacIDE3"
3.68833333333333,0.506275,56,110.748433116309,0.170215409084449,48.8023348188536,1,"BLR-lacIDE3"
3.97222222222222,0.535475,63.75,119.15803767506,0.150729319486119,47.8588339886324,1,"BLR-lacIDE3"
4.25583333333333,0.5633,70.5,125.271121481752,0.15860037080288,42.2876218748502,1,"BLR-lacIDE3"
4.53944444444444,0.5889,78,132.631185226571,0.146663105122753,40.4635898284949,1,"BLR-lacIDE3"
4.82333333333333,0.61055,85.25,139.999376553244,0.143379427430648,30.1202403003071,1,"BLR-lacIDE3"
5.10694444444444,0.630875,92.75,147.617533276729,0.115775644603958,26.4280936199057,1,"BLR-lacIDE3"
5.39055555555556,0.657675,98.75,150.667693888831,0.115477980486283,21.2246099096286,1,"BLR-lacIDE3"
5.67444444444444,0.68185,104,152.918413198531,0.0953860798314285,19.3811512671056,1,"BLR-lacIDE3"
5.95805555555556,0.7094,108.25,153.023500252941,0.0640291888835611,13.4018620819669,1,"BLR-lacIDE3"
6.24166666666667,0.721425,112.5,156.437003803477,0.0369282641924782,11.0023928384866,1,"BLR-lacIDE3"
6.52555555555556,0.738625,115.25,156.525023110189,0.0278137336387654,7.01159487945285,1,"BLR-lacIDE3"
6.80916666666667,0.74315,117.5,158.571285367847,0.0161656914424998,10.7291743865371,1,"BLR-lacIDE3"
7.09277777777778,0.750575,119.25,159.267713346225,0.0221153421053718,7.18756879092411,1,"BLR-lacIDE3"
7.37666666666667,0.75495,120.75,160.306263403367,0.0199344384258657,6.9282713510894,1,"BLR-lacIDE3"
7.66027777777778,0.7578,122.5,161.983177840169,0.0158536355018909,6.94498046382817,1,"BLR-lacIDE3"
7.94416666666667,0.7609,124.25,163.584140674356,0.0183342788076363,5.82030742246402,1,"BLR-lacIDE3"
8.22777777777778,0.7668,125.75,164.277379723213,0.0217673509424571,3.54317566401643,1,"BLR-lacIDE3"
8.51138888888889,0.769425,127,165.322271713817,0.0189138024607658,9.22560708475915,1,"BLR-lacIDE3"
8.79527777777778,0.772475,127.75,165.599274103323,0.0248938970027638,3.50109993166324,1,"BLR-lacIDE3"
9.07888888888889,0.777175,129,166.194523332787,0.0209896915838418,6.86354052236262,1,"BLR-lacIDE3"
9.3625,0.781325,130.25,166.874269548561,0.0185459228681467,4.513116481332,1,"BLR-lacIDE3"
9.64638888888889,0.785975,131.5,167.460145493163,0.0256816669658039,7.9205563820661,1,"BLR-lacIDE3"
9.93,0.792925,133,167.857928865768,0.0256172373124396,5.57800689990284,1,"BLR-lacIDE3"
10.2136111111111,0.79675,134,168.303052294554,0.0200010176402324,6.71163468315256,1,"BLR-lacIDE3"
10.4975,0.799525,135.5,169.581455356516,0.0228105071296352,6.58742872747138,1,"BLR-lacIDE3"
10.7811111111111,0.80875,137.5,170.075334135097,0.0135669146183934,4.38462762022283,1,"BLR-lacIDE3"
11.0647222222222,0.8146,138.25,169.757836840786,0.0114243076647521,6.50398048891352,1,"BLR-lacIDE3"
11.3486111111111,0.8156,139.75,171.383092948294,0.0229699804535325,5.4057840577521,1,"BLR-lacIDE3"
11.6322222222222,0.819375,141.5,172.707364576974,0.026464063592634,4.30119368247551,1,"BLR-lacIDE3"
11.9161111111111,0.823025,142.25,172.842481565127,0.0188388365335836,5.34820464382893,1,"BLR-lacIDE3"
12.1997222222222,0.82805,144,173.89337140429,0.0197936197773552,5.31815410663071,1,"BLR-lacIDE3"
12.4833333333333,0.832525,144.75,173.830230313316,0.0246916283377853,5.28789867301422,1,"BLR-lacIDE3"
12.7672222222222,0.83825,145.75,173.808547002427,0.0211849277464985,5.23846708088267,1,"BLR-lacIDE3"
13.0508333333333,0.8448,147.25,174.223969194874,0.0244789047151629,6.22978452921911,1,"BLR-lacIDE3"
13.3344444444444,0.848375,148.25,174.650972948186,0.0163854615770529,6.18517688141477,1,"BLR-lacIDE3"
13.6183333333333,0.8548,149.5,174.777343902955,0.0211953558670888,4.08096184688023,1,"BLR-lacIDE3"
13.9019444444444,0.859525,151,175.538988630196,0.00971103351087863,5.10098697679738,1,"BLR-lacIDE3"
